film,number,abstract,starring,name,subjects,cinematography,director,gross,producer,language
Resident Evil: Afterlife,15332396,"Resident Evil: Afterlife is a 2010 action horror film written and directed by Paul W. S. Anderson. The film marks Anderson's return to direct in the Resident Evil film series, after the first film. A direct sequel to Resident Evil: Extinction (2007), it is the fourth installment in the Resident Evil film series, which is loosely based on the video game series of the same name, and the first to be shot in 3D. It stars Milla Jovovich, Ali Larter, Kim Coates, Shawn Roberts, Spencer Locke, Boris Kodjoe, and Wentworth Miller.",--Ali Larter--Boris Kodjoe--Kacey Clarke--Kim Coates--Milla Jovovich--Sergio Peris-Mencheta--Shawn Roberts--Spencer Locke--Wentworth Miller,Resident Evil: Afterlife,2010 3D films-2010 action thriller films-2010 films-2010 horror films-2010s science fiction horror films-Apocalyptic films-Canadian films-Canadian post-apocalyptic films-Canadian science fiction action films-Constantin Film films-English-language German films-English-language films-Films about cloning-Films about viral outbreaks-Films directed by Paul W. S. Anderson-Films produced by Don Carmody-Films scored by Tomandandy-Films set in Alaska-Films set in Los Angeles-Films set in Tokyo-Films set on ships-Films shot in Tokyo-Films shot in Toronto-Films with screenplays by Paul W. S. Anderson-French action horror films-French action thriller films-French films-French post-apocalyptic films-German action horror films-German action thriller films-German films-German post-apocalyptic films-German science fiction action films-German sequel films-Girls with guns films-IMAX films-Resident Evil (film series)-Screen Gems films,Glen MacPherson,Paul W. S. Anderson,3.002E8,Paul W. S. Anderson,English
Black Death (film),23887068,"Black Death is a 2010 German–British action horror film directed by Christopher Smith from an original screenplay by Dario Poloni. It stars Sean Bean, Eddie Redmayne and Carice van Houten. Despite not being credited as a writer, Smith made very significant changes in the second half of the script, including a new ending. All the scenes of Black Death were shot in chronological order, a rare occurrence.",--Andy Nyman--Carice van Houten--Eddie Redmayne--John Lynch--Kimberley Nixon--Sean Bean--Tim McInnerny,Black Death,Films directed by Christopher Smith-Films set in the 14th century-Folk horror films-Latin-language films,na,Christopher Smith (director),272445.0,Christopher Smith (director),Latin
Saw 3D,24341999,"Saw 3D (also known as Saw: The Final Chapter) is a 2010 American 3D horror film directed by Kevin Greutert and written by Patrick Melton and Marcus Dunstan. It is the seventh installment in the Saw film series. The film stars Tobin Bell, Costas Mandylor, Betsy Russell, Sean Patrick Flanery, and Cary Elwes. It also featured the final film appearance of Chester Bennington before his death in 2017. The plot follows a man who, after falsely claiming to be a survivor of one of the Jigsaw Killer's games in order to become a local celebrity, finds himself part of a real game where he must save his wife. Meanwhile, Jill Tuck informs the Internal Affairs that rogue Detective Mark Hoffman is the man responsible for the recent Jigsaw games, and Hoffman hunts her down.",--Betsy Russell--Cary Elwes--Costas Mandylor--Sean Patrick Flanery--Tobin Bell,Saw 3D Original Motion Picture Soundtrack,2010 3D films-2010 films-2010 horror films-2010s serial killer films-American 3D films-American films-American sequel films-American serial killer films-Censored films-Crime horror films-English-language films-Films directed by Kevin Greutert-Films scored by Charlie Clouser-Films shot in Toronto-Lionsgate films-Saw (franchise) films-Torture in films,na,Kevin Greutert,1.362E8,Kevin Greutert,English
Saw 3D,24341999,"Saw 3D (also known as Saw: The Final Chapter) is a 2010 American 3D horror film directed by Kevin Greutert and written by Patrick Melton and Marcus Dunstan. It is the seventh installment in the Saw film series. The film stars Tobin Bell, Costas Mandylor, Betsy Russell, Sean Patrick Flanery, and Cary Elwes. It also featured the final film appearance of Chester Bennington before his death in 2017. The plot follows a man who, after falsely claiming to be a survivor of one of the Jigsaw Killer's games in order to become a local celebrity, finds himself part of a real game where he must save his wife. Meanwhile, Jill Tuck informs the Internal Affairs that rogue Detective Mark Hoffman is the man responsible for the recent Jigsaw games, and Hoffman hunts her down.",--Betsy Russell--Cary Elwes--Costas Mandylor--Sean Patrick Flanery--Tobin Bell,Saw 3D,2010 3D films-2010 films-2010 horror films-2010s serial killer films-American 3D films-American films-American sequel films-American serial killer films-Censored films-Crime horror films-English-language films-Films directed by Kevin Greutert-Films scored by Charlie Clouser-Films shot in Toronto-Lionsgate films-Saw (franchise) films-Torture in films,na,Kevin Greutert,1.362E8,Kevin Greutert,English
Bear (2010 film),25590057,Bear is a 2010 American natural horror film directed by Roel Reiné (under the pseudonym of John Rebel) and starring Patrick Scott Lewis and Katie Lowes. The film centers on four people who become the target of an extremely aggressive and wrathful grizzly bear.,Brendan Michael Coughlin--Katie Lowes--Mary Alexandra Stiefvater,Bear,2010 directorial debut films-2010 films-2010 horror films-American films-American independent films-American natural horror films-English-language films-Films about bears-Films shot in California-Films with screenplays by Ethan Wiley-Grizzly bears in popular culture,Roel Reiné,Roel Reiné,na,Roel Reiné,English
Stricken (2010 film),22581010,"Stricken is an American film that premiered on June 25, 2010, It was directed and written by , the movie starred Stephanie French and David Fine of Rent, Sweet November, The Pursuit of Happiness, and many other films. It is based on the short film of the same name that won Best Sound Design at the Action On Film Festival in 2007, and its screenplay won Best Adapted Screenplay in 2008.",Stephanie French--David Fine (actor),Stricken,2010 films-2010 horror films-American films-American horror films-English-language films-Features based on short films,Matthew Sconce,Matthew Sconce,na,Matthew Sconce,English
Blood Junkie,41446378,"Blood Junkie (originally filmed under the working title Rocky Trails) is a 2010 American independent comedy slasher film written and directed by Drew Rosas and starring Nick Sommer, Mike Johnson, Emily Treolo, and Sarah Luther. The film was released on May 20, 2010 in Milwaukee, Wisconsin and was later released on DVD through Troma Entertainment in 2011. The film follows a group of teenagers who go out into the woods to get high but end up getting killed one by one.","Nick Sommer, Mike Johnson, Sarah Luther, Emily Treolo, Andrew Swant",Blood Junkie,2010 comedy films-2010 comedy horror films-2010 films-2010 horror films-2010s slasher films-American exploitation films-American films-American slasher films-Parodies of horror-Slasher comedy films-Troma Entertainment films,Drew Rosas,Drew Rosas,na,Drew Rosas,English
Dante's Inferno: An Animated Epic,25744220,"Dante's Inferno: An Animated Epic is a direct to DVD animated dark fantasy action film released on February 9, 2010. Based on Dante's Inferno video game which is itself loosely based on Dante's Inferno, Dante must travel through the circles of Hell and battle demons, creatures, monsters, and even Lucifer himself to save his beloved Beatrice.",--Graham McTavish--Peter Jessop,Dante's Inferno: An Animated Epic,2010 animated films-2010 anime films-2010 direct-to-video films-2010 films-2010 horror films-2010s American animated films-2010s action horror films-2010s fantasy action films-American action horror films-American adult animated films-American animated horror films-American anthology films-American dark fantasy films-American films-American horror anthology films-Animated films based on video games-Anime films based on video games-Demons in film-English-language films-Fantasy anthology films-Film Roman films-Films based on works by Dante Alighieri-Films set in hell-Greco-Roman mythology in popular culture-Horror anime and manga-Japanese action horror films-Japanese animated fantasy films-Japanese animated horror films-Japanese anthology films-Japanese dark fantasy films-Japanese films-Limbo-Manglobe-Production I.G-Purgatory in fiction-South Korean animated horror films-South Korean films-The Devil in film-Works based on Electronic Arts video games,na,Yasuomi Umetsu,na,Yasuomi Umetsu,English
Dark Relic,55835281,Dark Relic is a 2010 fantasy horror television film directed by and starring James Frain. The film was generally poorly received.,--Alyy Khan--Christian Cooke--Clemency Burton-Hill--James Frain--Marija Karan--Samuel West--Tom Basden,Dark Relic,2010 fantasy films-2010 films-2010 horror films-2010 television films-American fantasy films-American films-American supernatural horror films-Crusades films-Films set in Israel-Films set in Jerusalem-Films set in the 11th century,na,Lorenzo Sena,na,Lorenzo Sena,http://dbpedia.org/resource/English_language
Exquisite Corpse (film),31574831,"Exquisite Corpse is a 2010 horror film written and directed by Scott David Russell. It stars Steve Sandvoss, Nicole Vicius and Guillermo Díaz.",Guillermo Díaz (actor)--Nicole Vicius--Steve Sandvoss--Tessa Thompson,Exquisite Corpse,2010 films-2010 horror films-2010s science fiction horror films-American films-American science fiction horror films-American zombie films,na,Scott David Russell,na,Scott David Russell,English
Cinco (film),27809735,"Cinco (lit. 'Five') is a 2010 Philippine psychological supernatural comedy science fiction horror film produced and released by Star Cinema. The film consists of five different horror stories which each featuring an ensemble cast including Sam Concepcion, AJ Perez, Robi Domingo, Jodi Sta. Maria, Maja Salvador, Rayver Cruz, Mariel Rodriguez, Pokwang and Zanjoe Marudo and are directed by Frasco Mortiz, Enrico C. Santos, Ato Bautista, Nick Olanka, and Cathy Garcia-Molina. The film was released on July 14, 2010.",--AJ Perez--Jodi Sta. Maria--Maja Salvador--Mariel Rodriguez--Pokwang--Rayver Cruz--Robi Domingo--Sam Concepcion--Zanjoe Marudo,Cinco,2010 films-2010 horror films-English-language films-Films directed by Cathy Garcia-Molina-Philippine comedy horror films-Philippine films-Philippine psychological horror films-Philippine psychological thriller films-Philippine supernatural horror films-Philippine thriller drama films-Star Cinema films-Tagalog-language films-Zombie comedy films,na,Cathy Garcia-Molina,na,Cathy Garcia-Molina,Filipino
Devil's Playground (2010 film),28252265,"Devil's Playground is a British horror film directed by Mark McQueen and starring Craig Fairbrass. Intandem Films has the worldwide rights to the film, which was produced by Freddie Hutton-Mills, Bart Ruspoli and Jonathan Sothcott.",--Craig Fairbrass--Danny Dyer--Jaime Murray--MyAnna Buring,Devil's Playground,2010 films-2010 horror films-2010s monster movies-British films-English-language films-Films set in London,na,na,na,na,English
Paranormal Activity 2: Tokyo Night,32386989,"Paranormal Activity 2: Tokyo Night (Japanese: パラノーマル・アクティビティ 第2章 TOKYO NIGHT, Hepburn: Paranōmaru Akutibiti Dai Ni Shō: Tōkyō Naito) is a 2010 Japanese independent supernatural horror film written and directed by Toshikazu Nagae. Commissioned by the Japanese distributor Presidio Corporation, the film is based on the 2007 American film Paranormal Activity by Oren Peli and documents events that follow from the original film. Paranormal Activity 2: Tokyo Night was screened at various locations across Japan by Cinema Sunshine. It was later screened in various other countries.",Aoi Nakamura--Noriko Aoyama,Paranormal Activity 2: Tokyo Night,2010 films-2010 horror films-2010 independent films-2010 psychological thriller films-Alternative sequel films-Camcorder films-Demons in film-Films set in Tokyo-Found footage films-Japanese-language films-Japanese films-Japanese haunted house films-Japanese independent films-Japanese psychological horror films-Japanese psychological thriller films-Japanese supernatural horror films,na,na,4.16E7,na,Japanese
Rammbock: Berlin Undead,42272956,"Rammbock (also Rammbock: Berlin Undead and Siege of the Dead) is a 2010 German horror film directed by Marvin Kren, written by Benjamin Hessler, and starring Michael Fuith, Theo Trebs, Anka Graczyk, and Emily Cox as survivors of a rage virus in Berlin. Besides its native Germany, it was theatrically released in Austria, the UK, and the US.",--Anka Graczyk--Emily Cox--Michael Fuith--Theo Trebs,Rammbock,2010 directorial debut films-2010 films-2010 horror films-Austrian horror films-Films about viral outbreaks-Films about zombies-Films set in Berlin-German-language films-German films-German horror films-German independent films,na,Marvin Kren,na,Marvin Kren,German
The Quiet Ones (2010 film),40006699,"The Quiet Ones, also known as Hush, is a 2010 American independent horror film directed by . The film stars Courtney Gains, Reggie Bannister, Bill Allen, Adam C. Edwards and others.","Bill Allen--Reggie Bannister,--Courtney Gains",The Quiet Ones,2010 films-2010 horror films,na,Amel J. Figueroa,na,Amel J. Figueroa,English
