,,film,number,abstract,starring,name,subjects,cinematography,director,gross,producer,language
http://dbpedia.org/resource/Horrors_of_Spider_Island,6694303,"Horrors of Spider Island (German: Ein Toter hing im Netz, A Corpse Hung in the Web"") is a 1960 West German horror film directed by Fritz Böttger from his screenplay", and produced by Gaston Hakim and Wolf C. Hartwig for Rapid-Film/Intercontinental Filmgesellschaft. The film stars Alexander D'Arcy as Gary Webster," a talent agent who invites several girls to a club in Singapore. Their plane ride ends abruptly when they crash-land into the ocean. Webster and the women make their way to an island where they find a large spider web. A giant spider sinks its teeth into Webster which turns him into a mutant.""",-Alexander D'Arcy-Barbara Valentin-Harald Maresch-Rainer Brandt,Horrors of Spider Island,1960 films-1960 horror films-1960 independent films-1960s monster movies-1960s science fiction horror films-Films about spiders-Films directed by Fritz Böttger-Films set on uninhabited islands-Films shot in Yugoslavia-German-language films-German black-and-white films-German independent films-German science fiction horror films-Natural horror films-Sexploitation films-West German films,na,Fritz Böttger,na,Fritz Böttger,German
http://dbpedia.org/resource/The_Flesh_and_the_Fiends,21069604,"The Flesh and the Fiends (US title Mania) is a 1960 British horror film directed by John Gilling. It stars Peter Cushing as 19th-century medical doctor Robert Knox, who purchases human corpses for research from a murderous pair named Burke and Hare (George Rose and Donald Pleasence). The film is based on the true case of Burke and Hare, who murdered at least 16 people in 1828 Edinburgh, Scotland and sold their bodies for anatomical research.",http://dbpedia.org/resource/Donald_Pleasence-http://dbpedia.org/resource/George_Rose_(actor)-http://dbpedia.org/resource/June_Laverick-http://dbpedia.org/resource/Peter_Cushing,The Flesh and the Fiends,Category:1960 films-Category:1960 horror films-Category:1960s serial killer films-Category:Biographical films about serial killers-Category:British films-Category:British horror films-Category:British serial killer films-Category:Cultural depictions of William Burke and Hare-Category:Films about physicians-Category:Films directed by John Gilling-Category:Films set in Edinburgh-Category:Films set in the 1820s,http://dbpedia.org/resource/Monty_Berman,http://dbpedia.org/resource/John Gilling,na,Monty Berman-Robert S. Baker,English,Monty Berman-Robert S. Baker,
http://dbpedia.org/resource/Hyde_and_Go_Tweet,10208216,"Hyde and Go Tweet is a 1960 Warner Bros. Merrie Melodies animated short directed by Friz Freleng. The voices were performed by Mel Blanc. The short was released on May 14, 1960, and stars Tweety and Sylvester. The short is the third directed by Freleng based on Robert Louis Stevenson's 1886 novella Strange Case of Dr. Jekyll and Mr. Hyde. The title is a play on the game hide and go seek. It was featured in the film Daffy Duck's Quackbusters, with new animation showing Sylvester in Daffy's office.",http://dbpedia.org/resource/Mel_Blanc,Hyde and Go Tweet,Category:1960 animated films-Category:1960 films-Category:1960 horror films-Category:1960 short films-Category:1960s American animated films-Category:1960s Warner Bros. animated short films-Category:American animated short films-Category:American films-Category:American science fiction horror films-Category:Animated films about birds-Category:Animated films about cats-Category:Dr. Jekyll and Mr. Hyde films-Category:Films scored by Milt Franklyn-Category:Films with screenplays by Michael Maltese-Category:Merrie Melodies short films-Category:Short films directed by Friz Freleng,na,http://dbpedia.org/resource/Friz Freleng,na,John W. Burton (film producer),English,John W. Burton (film producer),
http://dbpedia.org/resource/The_Hypnotic_Eye,21924668,"The Hypnotic Eye (1960) is a horror film, released by Allied Artists on February 27, 1960, starring Jacques Bergerac, Allison Hayes, Merry Anders, Eric Big Daddy"" Nord", and Ferdinand Demara," billed as ""Fred Demara"".""",Allison Hayes-Jacques Bergerac,The Hypnotic Eye,1960 films-1960 horror films-Allied Artists films-American black-and-white films-American films-Films featuring hypnosis,Archie R. Dalzell,George Blair (director),na,George Blair (director),http://dbpedia.org/resource/English_language
http://dbpedia.org/resource/Eyes_Without_a_Face,2491582,"Eyes Without a Face (French: Les Yeux sans visage) is a 1960 French-language horror film co-written and directed by Georges Franju. The film, a French-Italian co-production, stars Pierre Brasseur and Alida Valli. Based on the novel of the same name by Jean Redon, it revolves around a plastic surgeon who is determined to perform a face transplant on his daughter, who was disfigured in an auto crash. During the film's production, consideration was given to the standards of European censors by setting the right tone, minimizing gore and eliminating the mad scientist character. Although the film passed through the European censors, the film's release in Europe caused controversy nevertheless. Critical reaction ranged from praise to disgust.",http://dbpedia.org/resource/Alida_Valli-http://dbpedia.org/resource/Juliette_Mayniel-http://dbpedia.org/resource/Pierre_Brasseur-http://dbpedia.org/resource/Édith_Scob,Ma Periode Française,Category:1960 films-Category:1960 horror films-Category:Body horror films-Category:Films about surgeons-Category:Films based on French novels-Category:Films based on horror novels-Category:Films directed by Georges Franju-Category:Films scored by Maurice Jarre-Category:Films set in France-Category:French-language films-Category:French black-and-white films-Category:French films-Category:French serial killer films-Category:Gothic horror films-Category:Italian black-and-white films-Category:Italian films-Category:Italian horror films-Category:Lux Film films-Category:Mad scientist films-Category:Works about plastic surgery,http://dbpedia.org/resource/Eugen_Schüfftan,http://dbpedia.org/resource/Georges Franju,na,,French,,
http://dbpedia.org/resource/The_Little_Shop_of_Horrors,325206,"The Little Shop of Horrors is a 1960 American horror comedy film directed by Roger Corman. Written by Charles B. Griffith, the film is a farce about an inadequate florist's assistant who cultivates a plant that feeds on human blood. The film's concept may have been inspired by Green Thoughts"," a 1932 story by John Collier about a man-eating plant. Dennis McDougal suggests that Griffith may have been influenced by Arthur C. Clarke's 1956 sci-fi short story The Reluctant Orchid"" (which was in turn inspired by the 1905 H. G. Wells story ""The Flowering of the Strange Orchid"").""",-Jackie Joseph-Jonathan Haze-Mel Welles,The Little Shop of Horrors,http://dbpedia.org/resource/Category:1960_comedy_films-http://dbpedia.org/resource/Category:1960_drama_films-http://dbpedia.org/resource/Category:1960_films-http://dbpedia.org/resource/Category:1960_horror_films-http://dbpedia.org/resource/Category:1960s_black_comedy_films-http://dbpedia.org/resource/Category:1960s_comedy_horror_films-http://dbpedia.org/resource/Category:1960s_monster_movies-http://dbpedia.org/resource/Category:American_black-and-white_films-http://dbpedia.org/resource/Category:American_black_comedy_films-http://dbpedia.org/resource/Category:American_comedy_horror_films-http://dbpedia.org/resource/Category:American_films-http://dbpedia.org/resource/Category:American_independent_films-http://dbpedia.org/resource/Category:American_monster_movies-http://dbpedia.org/resource/Category:Articles_containing_video_clips-http://dbpedia.org/resource/Category:English-language_films-http://dbpedia.org/resource/Category:Films_about_plants-http://dbpedia.org/resource/Category:Films_adapted_into_plays-http://dbpedia.org/resource/Category:Films_directed_by_Roger_Corman-http://dbpedia.org/resource/Category:Films_produced_by_Roger_Corman-http://dbpedia.org/resource/Category:Films_scored_by_Ronald_Stein-http://dbpedia.org/resource/Category:Films_with_screenplays_by_Charles_B._Griffith-http://dbpedia.org/resource/Category:Works_based_on_the_Faust_legend,na,Roger Corman,na,http://dbpedia.org/resource/Roger_Corman,na,
http://dbpedia.org/resource/The_Tell-Tale_Heart_(1960_film),9880833,"The Tell-Tale Heart is a 1960 British horror film directed by Ernest Morris produced by the Danzigers. The screenplay by Brian Clemens and Eldon Howard is a loose adaptation of the 1843 short story of the same name by Edgar Allan Poe. The film was released in England in December 1960, and in the U.S. in February 1962 as The Hidden Room of 1,000 Horrors.",http://dbpedia.org/resource/Adrienne_Corri-http://dbpedia.org/resource/Dermot_Walsh-http://dbpedia.org/resource/Laurence_Payne,The Tell-Tale Heart,Category:1960 films-Category:1960 horror films-Category:British black-and-white films-Category:British films-Category:British horror films-Category:British independent films-Category:Films based on The Tell-Tale Heart,http://dbpedia.org/resource/James_Wilson_(cinematographer),na,na,The Danzigers,English,The Danzigers,
http://dbpedia.org/resource/The_Hands_of_Orlac_(1960_film),28968084,"The Hands of Orlac (aka Hands of the Strangler) is a 1960 British-French horror film directed by Edmond T. Gréville, starring Mel Ferrer, Christopher Lee, and Dany Carrel, and based on the novel Les Mains d'Orlac by Maurice Renard.",http://dbpedia.org/resource/Christopher_Lee-http://dbpedia.org/resource/Dany_Carrel-http://dbpedia.org/resource/Felix_Aylmer-http://dbpedia.org/resource/Lucile_Saint-Simon-http://dbpedia.org/resource/Mel_Ferrer-http://dbpedia.org/resource/Mireille_Perrey,The Hands of Orlac,Category:1960 films-Category:1960 horror films-Category:British films-Category:British horror films-Category:English-language French films-Category:English-language films-Category:Films about pianos and pianists-Category:Films based on French novels-Category:Films based on horror novels-Category:Films directed by Edmond T. Gréville-Category:French films-Category:French horror films,http://dbpedia.org/resource/Desmond_Dickinson,http://dbpedia.org/resource/Edmond T. Gréville,na,Steven Pallos,na,Steven Pallos,
http://dbpedia.org/resource/13_Ghosts,1135297,"13 Ghosts is a 1960 American supernatural horror film produced and directed by William Castle, written by Robb White, and starring Jo Morrow, Rosemary DeCamp, Martin Milner, Donald Woods, Charles Herbert, and experienced character actress Margaret Hamilton. 13 Ghosts was released in 1960 on a double bill with either 12 to the Moon, The Electronic Monster, or Battle in Outer Space, depending on the film market.",-Charles Herbert-Donald Woods-Jo Morrow-Margaret Hamilton-Rosemary DeCamp,13,Category:1960 films-Category:1960 horror films-Category:American films-Category:American haunted house films-Category:American supernatural horror films-Category:Columbia Pictures films-Category:English-language films-Category:Films directed by William Castle-Category:Films with screenplays by Robb White,http://dbpedia.org/resource/Joseph_Biroc,http://dbpedia.org/resource/William Castle,1500000.0,William Castle,English,William Castle,
http://dbpedia.org/resource/The_Hand_(1960_film),39420987,The Hand is a 1960 British horror film directed by Henry Cass and written by Ray Cooney and Tony Hilton. The film is memorable for its nightmarish premise and opening scene that belies its censorship certificate.,http://dbpedia.org/resource/Bryan_Coleman-http://dbpedia.org/resource/Derek_Bond-http://dbpedia.org/resource/Reed_De_Rouen,The Hand,Category:1960 films-Category:1960 horror films-Category:British films-Category:British horror films-Category:English-language films-Category:Films directed by Henry Cass-Category:Films shot at Nettlefold Studios,http://dbpedia.org/resource/Walter_J._Harvey,http://dbpedia.org/resource/Henry Cass,na,Bill Luckwell,English,Bill Luckwell,
