,film,number,abstract,starring,name,subjects,cinematography,director,gross,producer,language
0,Phobia (1980 film),13022883,Phobia is a 1980 Canadian horror-thriller film directed by John Huston and starring Paul Michael Glaser.,John Colicos-Paul Michael Glaser-Susan Hogan (actor),Phobia,1980 films-1980 horror films-1980s horror thriller films-Canadian films-Canadian horror thriller films-Films about fear-Films directed by John Huston-Films with screenplays by Dan O'Bannon-Films with screenplays by Jimmy Sangster-Films with screenplays by Peter Bellwood-Films with screenplays by Ronald Shusett-Medical-themed films-Paramount Pictures films,Reginald H. Morris,John Huston,59167.0,John Huston,English
1,The Changeling (film),1803595,"For other definitions of Changeling, see Changeling (Disambuguation) The Changeling is a 1980 Canadian supernatural psychological horror film directed by Peter Medak and starring George C. Scott, Trish Van Devere, and Melvyn Douglas. Its plot follows an esteemed New York City composer who relocates to Seattle, where he moves into a mansion he comes to believe is haunted. The screenplay is based upon events that writer Russell Hunter claimed he experienced while he was living in the Henry Treat Rogers mansion in the Cheesman Park neighborhood of Denver, Colorado, in the late 1960s; Hunter served as a co-writer of the film.",-George C. Scott-Helen Burns-Jean Marsh-John Colicos-Madeleine Sherwood-Melvyn Douglas-Trish Van Devere,The Changeling,1980 films-1980 horror films-1980s thriller films-Best Picture Genie and Canadian Screen Award winners-Canadian films-Canadian ghost films-Canadian horror thriller films-Canadian supernatural horror films-English-language films-Filicide in fiction-Films about child death-Films directed by Peter Medak-Films set in Seattle-Films set in Washington (state)-Films set in country houses-Films shot in British Columbia-Haunted house films,John Coquillon,Peter Medak,1.2E7,Peter Medak,http://dbpedia.org/resource/English_language
2,The Attic (1980 film),38330239,The Attic is a 1980 American horror-thriller film directed by George Edwards and starring Carrie Snodgress and Ray Milland.,Ruth Cox-Carrie Snodgress-Frances Bay-Ray Milland,The Attic,1980 horror films-1980s horror thriller films-American films-American horror thriller films-Atlantic Entertainment Group films,Gary Graver,George Edwards (producer),na,George Edwards (producer),English
3,Deadline (1980 film),63121324,Deadline (also known as Anatomy of a Horror) is a 1980 Canadian horror film directed and co-written by Mario Azzopardi and starring Stephen Young and Sharon Masters.,Sharon Masters-Stephen Young (actor),Deadline,1980 films-1980 horror films-Canadian films-Canadian horror films-Films about writers,na,Mario Philip Azzopardi,na,Mario Philip Azzopardi,English
4,New Year's Evil (film),15589712,"New Year's Evil is a 1980 American slasher film written and directed by Emmett Alston, co-written by Leonard Neubauer, and starring Kip Niven, Roz Kelly, and Chris Wallace. The plot follows a Los Angeles punk rock and new wave show host who receives a series of phone calls during a televised New Year's Eve bash from a killer warning of impending murders that he plans to exact as the New Year dawns on each time zone.",Chris Wallace-Grant Cramer-Kip Niven-Roz Kelly,New Year's Evil,1980 films-1980 horror films-1980 independent films-1980s horror thriller films-1980s mystery films-1980s slasher films-American films-American independent films-American slasher films-English-language films-Films directed by Emmett Alston-Films set around New Year-Films set in Los Angeles-Films set in hotels-Golan-Globus films-Holiday horror films-Mass murder in fiction-Punk films,Thomas E. Ackerman,na,na,na,English
5,Antropophagus,1522227,"Antropophagus (also known as Antropophagus: The Beast and The Grim Reaper) is a 1980 Italian horror film directed by Joe D'Amato and co-written by D'Amato and George Eastman, who starred in the film as a cannibal. The film also starred Tisa Farrow, Zora Kerova, Saverio Vallone, Serena Grandi, Margaret Mazzantini, and Mark Bodin.",George Eastman-Saverio Vallone-Tisa Farrow-Serena Grandi-Zora Kerova,Antropophagus,1980 films-1980 horror films-1980s exploitation films-1980s independent films-1980s serial killer films-1980s slasher films-Cannibal-boom films-Films about cannibalism-Films directed by Joe D'Amato-Films scored by Marcello Giombini-Films set in Athens-Films set in Greece-Films set in abandoned houses-Films set in the Mediterranean Sea-Films set on islands-Films shot in Greece-Films shot in Italy-Films shot in Lazio-Films shot in Rome-Italian-language films-Italian films-Italian horror films-Italian independent films-Italian sequel films-Italian serial killer films-Italian slasher films-Splatter films-Tarot in fiction-Video nasties,na,Joe D'Amato,na,Joe D'Amato,na
6,Nightmares (1980 film),35876700,"Nightmares (also known as Stage Fright) is a 1980 Australian slasher film, directed by John D. Lamond and was Gary Sweet's feature film debut.",Gary Sweet-Jenny Neumann,Nightmares,1980 films-1980 horror films-1980s slasher films-Australian films-Australian slasher films-Films scored by Brian May (composer),Garry Wapshott,John D. Lamond,168000.0,John D. Lamond,English
7,The Island (1980 film),1881015,"The Island is a 1980 American actionadventure-thriller film directed by Michael Ritchie and starring Michael Caine and David Warner. The film was based on a 1979 novel of the same name by Peter Benchley who also wrote the screenplay. It is about a savage group of pirates, made up of outcasts, thieves, and murderers, who are hidden from the outside world by an uncharted Caribbean island, and who have raided boats to sustain themselves, since the 18th century.",-Angela Punch McGregor-David Warner-Michael Caine,The Island,1980 films-1980 horror films-1980s action adventure films-1980s psychological thriller films-American action adventure films-American action horror films-American adventure thriller films-American films-American horror thriller films-American psychological thriller films-English-language films-Films about journalists-Films based on American novels-Films based on adventure novels-Films based on thriller novels-Films based on works by Peter Benchley-Films directed by Michael Ritchie-Films produced by David Brown-Films produced by Richard D. Zanuck-Films scored by Ennio Morricone-Films set in the Caribbean-Films set on islands-Films shot in Antigua and Barbuda-Films shot in the Bahamas-Pirate films-The Zanuck Company films-Universal Pictures films,Henri Decaë,Michael Ritchie (film director),1.57E7,Michael Ritchie (film director),English
8,Motel Hell,3262031,"Motel Hell is a 1980 American comedy horror film directed by Kevin Connor and starring Rory Calhoun, Nancy Parsons, and Nina Axelrod. The plot follows farmer, butcher, motel manager, and meat entrepreneur Vincent Smith, who traps travelers and harvests them for his human sausages. Because of its low budget, the original intent was to make a serious horror film, with moments of disturbing wit and irony. It is often seen as a satire of modern horror films such as Psycho and The Texas Chain Saw Massacre.",Nancy Parsons-Nina Axelrod-Paul Linke-Rory Calhoun-Wolfman Jack,Motel Hell,1980 films-1980 horror films-American comedy horror films-American films-American satirical films-American serial killer films-English-language films-Films about cannibalism-Films about siblings-Films directed by Kevin Connor-Films produced by Steven-Charles Jaffe-Films set in motels-Films shot in California-United Artists films,Thomas Del Ruth,Kevin Connor (director),6300000.0,Kevin Connor (director),English
9,Humanoids from the Deep,3871584,"Humanoids from the Deep (released as Monster in Europe and Japan) is a 1980 American science-fiction monster movie starring Doug McClure, Ann Turkel, and Vic Morrow. Roger Corman served as the film's uncredited executive producer, and his company, New World Pictures, distributed it. Humanoids from the Deep was directed by Barbara Peeters and an uncredited Jimmy T. Murakami.",Ann Turkel-Doug McClure-Lynn Schiller-Vic Morrow,Humanoids from the Deep,1980 films-American exploitation films-American films-American monster movies-American science fiction horror films-English-language films-Films about rape-Films set in California-Films shot in California,na,Jimmy T. Murakami,2500000.0,Jimmy T. Murakami,http://dbpedia.org/resource/English_language
