"film","number","abstract","starring","name","subjects","cinematography","director","gross","producer","language"
"http://dbpedia.org/resource/Supernova_(2000_film)","2707684","Supernova is a 2000 science fiction horror film written by David C. Wilson, William Malone and Daniel Chuba and directed by Walter Hill, credited as "Thomas Lee." "Thomas Lee" was chosen as a directorial pseudonym for release, as the name Alan Smithee had become too well known as a badge of a film being disowned by its makers. It was originally developed in 1988 by director William Malone as "Dead Star," with paintings by H. R. Giger and a plot that had been called "Hellraiser in outer space." Jack Sholder was hired for substantial uncredited reshoots, and Francis Ford Coppola was brought in for editing purposes. Various sources suggest that little of Hill's work remains in the theatrical cut of the film. The film shares several plot similarities with the film Event Horizon, released in 19","--Angela Bassett--James Spader--Lou Diamond Phillips--Peter Facinelli--Robert Forster--Robin Tunney--Wilson Cruz","Supernova","http://dbpedia.org/resource/Category:2000_films-http://dbpedia.org/resource/Category:2000_horror_films-http://dbpedia.org/resource/Category:2000s_science_fiction_horror_films-http://dbpedia.org/resource/Category:2000s_thriller_films-http://dbpedia.org/resource/Category:American_films-http://dbpedia.org/resource/Category:American_science_fiction_horror_films-http://dbpedia.org/resource/Category:American_space_adventure_films-http://dbpedia.org/resource/Category:American_thriller_films-http://dbpedia.org/resource/Category:English-language_films-http://dbpedia.org/resource/Category:Fiction_about_supernovae-http://dbpedia.org/resource/Category:Films_directed_by_Alan_Smithee-http://dbpedia.org/resource/Category:Films_directed_by_Walter_Hill-http://dbpedia.org/resource/Category:Films_set_in_the_22nd_century-http://dbpedia.org/resource/Category:Metro-Goldwyn-Mayer_films-http://dbpedia.org/resource/Category:Swiss_films-http://dbpedia.org/resource/Category:Swiss_horror_films","http://dbpedia.org/resource/Lloyd_Ahern_II","http://dbpedia.org/resource/Francis_Ford_Coppola","1.48E7","http://dbpedia.org/resource/Jamie_Dixon","English"
"http://dbpedia.org/resource/Dracula_2000","1219214","Dracula 2000 (also known internationally as Dracula 2001) is a 2000 American gothic horror film co-written and directed by Patrick Lussier and produced by Joel Soisson and Wes Craven (executive producer), and starring Gerard Butler, Christopher Plummer, Jonny Lee Miller, Justine Waddell, Omar Epps, Colleen Fitzpatrick, Jeri Ryan and Jennifer Esposito. The plot follows Dracula, who arrives in New Orleans, Louisiana in the 21st century and seeks out Mary Heller, a descendant of Abraham Van Helsing.","--Christopher Plummer--Colleen Ann Fitzpatrick--Danny Masterson--Gerard Butler--Jennifer Esposito--Jeri Ryan--Jonny Lee Miller--Justine Waddell--Lochlyn Munro--Omar Epps--Sean Patrick Thomas","Dracula 2000","http://dbpedia.org/resource/Category:2000_directorial_debut_films-http://dbpedia.org/resource/Category:2000_films-http://dbpedia.org/resource/Category:2000_horror_films-http://dbpedia.org/resource/Category:2000s_thriller_films-http://dbpedia.org/resource/Category:American_films-http://dbpedia.org/resource/Category:American_horror_thriller_films-http://dbpedia.org/resource/Category:American_supernatural_horror_films-http://dbpedia.org/resource/Category:Cultural_depictions_of_Judas_Iscariot-http://dbpedia.org/resource/Category:Dimension_Films_films-http://dbpedia.org/resource/Category:Dracula_2000_(film_series)-http://dbpedia.org/resource/Category:Dracula_films-http://dbpedia.org/resource/Category:English-language_films-http://dbpedia.org/resource/Category:Films_about_nightmares-http://dbpedia.org/resource/Category:Films_about_religion-http://dbpedia.org/resource/Category:Films_about_telepathy-http://dbpedia.org/resource/Category:Films_directed_by_Patrick_Lussier-http://dbpedia.org/resource/Category:Films_produced_by_Joel_Soisson-http://dbpedia.org/resource/Category:Films_scored_by_Marco_Beltrami-http://dbpedia.org/resource/Category:Films_set_in_2000-http://dbpedia.org/resource/Category:Films_set_in_London-http://dbpedia.org/resource/Category:Films_set_in_New_Orleans-http://dbpedia.org/resource/Category:Films_shot_in_New_Orleans-http://dbpedia.org/resource/Category:Films_shot_in_Toronto-http://dbpedia.org/resource/Category:Films_with_screenplays_by_Ehren_Kruger-http://dbpedia.org/resource/Category:Films_with_screenplays_by_Joel_Soisson-http://dbpedia.org/resource/Category:Portrayals_of_Jesus_in_film-http://dbpedia.org/resource/Category:Reboot_films-http://dbpedia.org/resource/Category:Religious_horror_films-http://dbpedia.org/resource/Category:Resurrection_in_film","http://dbpedia.org/resource/Peter_Pau","http://dbpedia.org/resource/Patrick_Lussier","4.71E7","http://dbpedia.org/resource/Joel_Soisson--http://dbpedia.org/resource/W.K._Border","English"
"http://dbpedia.org/resource/Final_Destination_(film)","219712","Final Destination is a 2000 American supernatural horror film directed by James Wong, with a screenplay written by James Wong, Glen Morgan, and Jeffrey Reddick, based on a story by Reddick. It is the first installment in the Final Destination film series and stars Devon Sawa, Ali Larter, Kerr Smith, and Tony Todd. Sawa portrays a teenager who cheats death after having a premonition of a catastrophic plane explosion. He and several of his classmates leave the plane before the explosion occurs, but Death later takes the lives of those who were meant to die on the plane.","--Ali Larter--Devon Sawa--Kerr Smith--Tony Todd","Final Destination","http://dbpedia.org/resource/Category:2000_directorial_debut_films-http://dbpedia.org/resource/Category:2000_films-http://dbpedia.org/resource/Category:2000_horror_films-http://dbpedia.org/resource/Category:2000s_horror_thriller_films-http://dbpedia.org/resource/Category:2000s_teen_horror_films-http://dbpedia.org/resource/Category:American_aviation_films-http://dbpedia.org/resource/Category:American_films-http://dbpedia.org/resource/Category:American_horror_thriller_films-http://dbpedia.org/resource/Category:American_splatter_films-http://dbpedia.org/resource/Category:American_teen_horror_films-http://dbpedia.org/resource/Category:Films_about_aviation_accidents_or_incidents-http://dbpedia.org/resource/Category:Films_directed_by_James_Wong_(filmmaker)-http://dbpedia.org/resource/Category:Films_scored_by_Shirley_Walker-http://dbpedia.org/resource/Category:Films_set_in_2000-http://dbpedia.org/resource/Category:Films_set_in_New_York_City-http://dbpedia.org/resource/Category:Films_set_in_airports-http://dbpedia.org/resource/Category:Films_set_on_airplanes-http://dbpedia.org/resource/Category:Films_shot_in_San_Francisco-http://dbpedia.org/resource/Category:Films_shot_in_Toronto-http://dbpedia.org/resource/Category:Films_shot_in_Vancouver-http://dbpedia.org/resource/Category:Final_Destination_films-http://dbpedia.org/resource/Category:New_Line_Cinema_films","http://dbpedia.org/resource/Robert_McLachlan_(cinematographer)","http://dbpedia.org/resource/James_Wong_(filmmaker)","1.129E8","http://dbpedia.org/resource/Glen_Morgan","English"
"http://dbpedia.org/resource/Faust:_Love_of_the_Damned","3041635","Faust: Love of the Damned is a 2000 Spanish English-language superhero horror film directed by Brian Yuzna. It is adapted from a screenplay by David Quinn and Miguel Tejada-Flores based on the comic book of the same name by Tim Vigil and David Quinn. It was produced by Ted Chalmers, Carlos, Julio and Antonio Fernández, Bea Morillas, Miguel Torrente and Brian Yuzna. It premiered at the Sitges International Fantastic Film Festival on 12 October 2000.","Isabel Brook--Jennifer Rope--http://dbpedia.org/resource/Andrew_Divoff--http://dbpedia.org/resource/Jeffrey_Combs--http://dbpedia.org/resource/Mark_Frost_(actor)","Faust: Love of the Damned","http://dbpedia.org/resource/Category:2000_films-http://dbpedia.org/resource/Category:2000_horror_films-http://dbpedia.org/resource/Category:2000s_superhero_films-http://dbpedia.org/resource/Category:Action_horror_films-http://dbpedia.org/resource/Category:Dark_fantasy_films-http://dbpedia.org/resource/Category:Demons_in_film-http://dbpedia.org/resource/Category:English-language_films-http://dbpedia.org/resource/Category:Films_about_Satanism-http://dbpedia.org/resource/Category:Films_about_rape-http://dbpedia.org/resource/Category:Films_based_on_American_comics-http://dbpedia.org/resource/Category:Films_directed_by_Brian_Yuzna-http://dbpedia.org/resource/Category:Films_shot_in_Barcelona-http://dbpedia.org/resource/Category:Live-action_films_based_on_comics-http://dbpedia.org/resource/Category:Spanish_action_films-http://dbpedia.org/resource/Category:Spanish_fantasy_films-http://dbpedia.org/resource/Category:Spanish_films-http://dbpedia.org/resource/Category:Spanish_films_about_revenge-http://dbpedia.org/resource/Category:Spanish_horror_films-http://dbpedia.org/resource/Category:Spanish_supernatural_horror_films-http://dbpedia.org/resource/Category:Spanish_vigilante_films-http://dbpedia.org/resource/Category:Splatter_films-http://dbpedia.org/resource/Category:Superhero_horror_films-http://dbpedia.org/resource/Category:Supervillain_films-http://dbpedia.org/resource/Category:Works_based_on_the_Faust_legend","http://dbpedia.org/resource/Jacques_Haitkin","http://dbpedia.org/resource/Brian_Yuzna","na","http://dbpedia.org/resource/Brian_Yuzna","English"
"http://dbpedia.org/resource/Hellraiser:_Inferno","3745444","Hellraiser: Inferno (also known as Hellraiser V: Inferno) is a 2000 American horror film. It is the fifth installment in the Hellraiser series, and the first Hellraiser film to be released direct-to-video. It was directed by Scott Derrickson and released on October 3, 2000. The film concerns a corrupt detective who discovers Lemarchand's box at a crime scene, which results in his life gradually unraveling. Reviews of the film were mixed, largely because the film was not originally written to be a Hellraiser sequel, and the tone resembles more of a psychological horror film than a body horror film as the first four films were.","http://dbpedia.org/resource/Craig_Sheffer--http://dbpedia.org/resource/Doug_Bradley--http://dbpedia.org/resource/James_Remar--http://dbpedia.org/resource/Nicholas_Turturro","Hellraiser: Inferno","http://dbpedia.org/resource/Category:2000_direct-to-video_films-http://dbpedia.org/resource/Category:2000_directorial_debut_films-http://dbpedia.org/resource/Category:2000_films-http://dbpedia.org/resource/Category:2000_horror_films-http://dbpedia.org/resource/Category:American_direct-to-video_films-http://dbpedia.org/resource/Category:American_films-http://dbpedia.org/resource/Category:American_supernatural_horror_films-http://dbpedia.org/resource/Category:Dimension_Films_films-http://dbpedia.org/resource/Category:Direct-to-video_horror_films-http://dbpedia.org/resource/Category:Direct-to-video_interquel_films-http://dbpedia.org/resource/Category:Films_based_on_works_by_Clive_Barker-http://dbpedia.org/resource/Category:Films_directed_by_Scott_Derrickson-http://dbpedia.org/resource/Category:Hellraiser_films-http://dbpedia.org/resource/Category:Religious_horror_films","http://dbpedia.org/resource/Nathan_Hope","http://dbpedia.org/resource/Scott_Derrickson","na","http://dbpedia.org/resource/Joel_Soisson--http://dbpedia.org/resource/W.K._Border","English"
"http://dbpedia.org/resource/Versus_(2000_film)","2663035","Versus (VERSUS -ヴァーサス-, Vāsasu) is a 2000 Japanese independent zombie action film co-written, produced, and directed by Ryuhei Kitamura. The film is set somewhere in the deep forest of Japan, known as the Forest of Resurrection, where an escaped convict simply referred to as "Prisoner KSC2-303" and a gang of Yakuza battle a horde of zombies while at the same time dealing with their sinister leader who wishes to open the forest's portal of darkness.","Chieko Misaka--http://dbpedia.org/resource/Hideo_Sakaki--http://dbpedia.org/resource/Kenji_Matsuda--http://dbpedia.org/resource/Tak_Sakaguchi","Versus","http://dbpedia.org/resource/Category:2000_films-http://dbpedia.org/resource/Category:2000_horror_films-http://dbpedia.org/resource/Category:2000s_action_thriller_films-http://dbpedia.org/resource/Category:2000s_exploitation_films-http://dbpedia.org/resource/Category:2000s_fantasy_films-http://dbpedia.org/resource/Category:Films_directed_by_Ryuhei_Kitamura-http://dbpedia.org/resource/Category:Japanese-language_films-http://dbpedia.org/resource/Category:Japanese_action_films-http://dbpedia.org/resource/Category:Japanese_action_horror_films-http://dbpedia.org/resource/Category:Japanese_films-http://dbpedia.org/resource/Category:Japanese_horror_films-http://dbpedia.org/resource/Category:Japanese_martial_arts_films-http://dbpedia.org/resource/Category:Japanese_zombie_films-http://dbpedia.org/resource/Category:Martial_arts_horror_films-http://dbpedia.org/resource/Category:Tokyo_Shock-http://dbpedia.org/resource/Category:Yakuza_films","na","http://dbpedia.org/resource/Ryuhei_Kitamura","na","","Japanese"
"http://dbpedia.org/resource/Satan's_School_for_Girls_(2000_film)","16851708","Satan's School for Girls is a 2000 American made-for-television horror film directed by Christopher Leitch and starring Shannen Doherty, Julie Benz, Daniel Cosgrove and Kate Jackson. It is a remake of a 1973 ABC Movie of the Week of the same name.","http://dbpedia.org/resource/Daniel_Cosgrove--http://dbpedia.org/resource/Julie_Benz--http://dbpedia.org/resource/Kate_Jackson--http://dbpedia.org/resource/Shannen_Doherty--http://dbpedia.org/resource/Taraji_P._Henson","Satan's School for Girls","http://dbpedia.org/resource/Category:2000_films-http://dbpedia.org/resource/Category:2000_horror_films-http://dbpedia.org/resource/Category:2000_television_films-http://dbpedia.org/resource/Category:American_film_remakes-http://dbpedia.org/resource/Category:American_films-http://dbpedia.org/resource/Category:American_horror_television_films-http://dbpedia.org/resource/Category:English-language_films-http://dbpedia.org/resource/Category:Films_about_witchcraft-http://dbpedia.org/resource/Category:Films_produced_by_Aaron_Spelling-http://dbpedia.org/resource/Category:Films_set_in_schools-http://dbpedia.org/resource/Category:Horror_film_remakes-http://dbpedia.org/resource/Category:Television_remakes_of_films","na","na","na","http://dbpedia.org/resource/Robert_Berger_(producer)","English"
"http://dbpedia.org/resource/Shark_Attack_2","29597569","Shark Attack 2 is a 2000 direct-to-video horror film. The film follows the mutant Sharks from Shark Attack as the attack Cape Town. In the film, a shark expert (Thorsten Kaye) and a flamboyant Australian marine hunter (Daniel Alexander) team up to destroy a group of white sharks mutating into a deadlier breed. The film was directed by David Worth and stars Thorsten Kaye and Nikita Ager.","--Edward Burns--Nikita Ager--Thorsten Kaye","Shark Attack 2","http://dbpedia.org/resource/Category:Direct-to-video_sequel_films-http://dbpedia.org/resource/Category:Films_about_shark_attacks-http://dbpedia.org/resource/Category:Films_about_sharks-http://dbpedia.org/resource/Category:Nu_Image_films-http://dbpedia.org/resource/Category:Shark_attacks_in_fiction","na","na","na","","English"
"http://dbpedia.org/resource/Lost_Souls_(2000_film)","5610546","Lost Souls is a 2000 American horror film directed by Janusz Kamiński, in his directorial debut. The film stars Winona Ryder, Ben Chaplin, Elias Koteas, and John Hurt.","--Ben Chaplin--Elias Koteas--John Hurt--Philip Baker Hall--Sarah Wynter--Winona Ryder","Lost Souls","http://dbpedia.org/resource/Category:2000_directorial_debut_films-http://dbpedia.org/resource/Category:2000_films-http://dbpedia.org/resource/Category:2000_horror_films-http://dbpedia.org/resource/Category:2000s_thriller_films-http://dbpedia.org/resource/Category:American_films-http://dbpedia.org/resource/Category:American_supernatural_horror_films-http://dbpedia.org/resource/Category:Films_scored_by_Jan_A._P._Kaczmarek-http://dbpedia.org/resource/Category:Films_set_in_New_York_City-http://dbpedia.org/resource/Category:Religious_horror_films","http://dbpedia.org/resource/Mauro_Fiore","http://dbpedia.org/resource/Janusz_Kamiński","3.135591E7","http://dbpedia.org/resource/Meg_Ryan","English"
"http://dbpedia.org/resource/Ginger_Snaps_(film)","365070","Ginger Snaps is a 2000 Canadian supernatural horror film directed by John Fawcett, who also co-wrote the film with Karen Walton. It stars Emily Perkins and Katharine Isabelle as two teenage sisters who have a fascination with death. The film's supporting cast includes Kris Lemche, Jesse Moss, Danielle Hampton, John Bourgeois, Peter Keleghan and Mimi Rogers.","--Emily Perkins--Katharine Isabelle--Kris Lemche--Mimi Rogers","Ginger Snaps","http://dbpedia.org/resource/Category:2000_drama_films-http://dbpedia.org/resource/Category:2000_films-http://dbpedia.org/resource/Category:2000_horror_films-http://dbpedia.org/resource/Category:2000s_buddy_films-http://dbpedia.org/resource/Category:2000s_coming-of-age_films-http://dbpedia.org/resource/Category:2000s_female_buddy_films-http://dbpedia.org/resource/Category:2000s_feminist_films-http://dbpedia.org/resource/Category:2000s_high_school_films-http://dbpedia.org/resource/Category:2000s_teen_drama_films-http://dbpedia.org/resource/Category:2000s_teen_horror_films-http://dbpedia.org/resource/Category:Artisan_Entertainment_films-http://dbpedia.org/resource/Category:Canadian_body_horror_films-http://dbpedia.org/resource/Category:Canadian_coming-of-age_films-http://dbpedia.org/resource/Category:Canadian_films-http://dbpedia.org/resource/Category:Canadian_werewolf_films-http://dbpedia.org/resource/Category:English-language_films-http://dbpedia.org/resource/Category:Films_about_sisters-http://dbpedia.org/resource/Category:Films_directed_by_John_Fawcett-http://dbpedia.org/resource/Category:Films_set_in_Canada-http://dbpedia.org/resource/Category:Films_set_in_fictional_populated_places-http://dbpedia.org/resource/Category:Films_shot_in_Toronto-http://dbpedia.org/resource/Category:Ginger_Snaps_films-http://dbpedia.org/resource/Category:Goth_subculture-http://dbpedia.org/resource/Category:Halloween_horror_films-http://dbpedia.org/resource/Category:Horror_drama_films","na","http://dbpedia.org/resource/John_Fawcett_(director)","572781.0","http://dbpedia.org/resource/Steve_Hoban","English"
