"film","number","abstract","starring","name","subjects","cinematography","director","gross","producer","language"
"http://dbpedia.org/resource/Horrors_of_Spider_Island","6694303","Horrors of Spider Island (German: Ein Toter hing im Netz, "A Corpse Hung in the Web") is a 1960 West German horror film directed by Fritz Böttger from his screenplay, and produced by Gaston Hakim and Wolf C. Hartwig for Rapid-Film/Intercontinental Filmgesellschaft. The film stars Alexander D'Arcy as Gary Webster, a talent agent who invites several girls to a club in Singapore. Their plane ride ends abruptly when they crash-land into the ocean. Webster and the women make their way to an island where they find a large spider web. A giant spider sinks its teeth into Webster which turns him into a mutant.","-Alexander D'Arcy-Barbara Valentin-Harald Maresch-Rainer Brandt","Horrors of Spider Island","http://dbpedia.org/resource/Category:1960_films-http://dbpedia.org/resource/Category:1960_horror_films-http://dbpedia.org/resource/Category:1960_independent_films-http://dbpedia.org/resource/Category:1960s_monster_movies-http://dbpedia.org/resource/Category:1960s_science_fiction_horror_films-http://dbpedia.org/resource/Category:Films_about_spiders-http://dbpedia.org/resource/Category:Films_directed_by_Fritz_Böttger-http://dbpedia.org/resource/Category:Films_set_on_uninhabited_islands-http://dbpedia.org/resource/Category:Films_shot_in_Yugoslavia-http://dbpedia.org/resource/Category:German-language_films-http://dbpedia.org/resource/Category:German_black-and-white_films-http://dbpedia.org/resource/Category:German_independent_films-http://dbpedia.org/resource/Category:German_science_fiction_horror_films-http://dbpedia.org/resource/Category:Natural_horror_films-http://dbpedia.org/resource/Category:Sexploitation_films-http://dbpedia.org/resource/Category:West_German_films","na","http://dbpedia.org/resource/Fritz_Böttger","na","http://dbpedia.org/resource/Wolf_C._Hartwig","German"
"http://dbpedia.org/resource/The_Flesh_and_the_Fiends","21069604","The Flesh and the Fiends (US title Mania) is a 1960 British horror film directed by John Gilling. It stars Peter Cushing as 19th-century medical doctor Robert Knox, who purchases human corpses for research from a murderous pair named Burke and Hare (George Rose and Donald Pleasence). The film is based on the true case of Burke and Hare, who murdered at least 16 people in 1828 Edinburgh, Scotland and sold their bodies for anatomical research.","http://dbpedia.org/resource/Donald_Pleasence-http://dbpedia.org/resource/George_Rose_(actor)-http://dbpedia.org/resource/June_Laverick-http://dbpedia.org/resource/Peter_Cushing","The Flesh and the Fiends","http://dbpedia.org/resource/Category:1960_films-http://dbpedia.org/resource/Category:1960_horror_films-http://dbpedia.org/resource/Category:1960s_serial_killer_films-http://dbpedia.org/resource/Category:Biographical_films_about_serial_killers-http://dbpedia.org/resource/Category:British_films-http://dbpedia.org/resource/Category:British_horror_films-http://dbpedia.org/resource/Category:British_serial_killer_films-http://dbpedia.org/resource/Category:Cultural_depictions_of_William_Burke_and_Hare-http://dbpedia.org/resource/Category:Films_about_physicians-http://dbpedia.org/resource/Category:Films_directed_by_John_Gilling-http://dbpedia.org/resource/Category:Films_set_in_Edinburgh-http://dbpedia.org/resource/Category:Films_set_in_the_1820s","http://dbpedia.org/resource/Monty_Berman","http://dbpedia.org/resource/John_Gilling","na","http://dbpedia.org/resource/Monty_Berman-http://dbpedia.org/resource/Robert_S._Baker","English"
"http://dbpedia.org/resource/Hyde_and_Go_Tweet","10208216","Hyde and Go Tweet is a 1960 Warner Bros. Merrie Melodies animated short directed by Friz Freleng. The voices were performed by Mel Blanc. The short was released on May 14, 1960, and stars Tweety and Sylvester. The short is the third directed by Freleng based on Robert Louis Stevenson's 1886 novella Strange Case of Dr. Jekyll and Mr. Hyde. The title is a play on the game hide and go seek. It was featured in the film Daffy Duck's Quackbusters, with new animation showing Sylvester in Daffy's office.","http://dbpedia.org/resource/Mel_Blanc","Hyde and Go Tweet","http://dbpedia.org/resource/Category:1960_animated_films-http://dbpedia.org/resource/Category:1960_films-http://dbpedia.org/resource/Category:1960_horror_films-http://dbpedia.org/resource/Category:1960_short_films-http://dbpedia.org/resource/Category:1960s_American_animated_films-http://dbpedia.org/resource/Category:1960s_Warner_Bros._animated_short_films-http://dbpedia.org/resource/Category:American_animated_short_films-http://dbpedia.org/resource/Category:American_films-http://dbpedia.org/resource/Category:American_science_fiction_horror_films-http://dbpedia.org/resource/Category:Animated_films_about_birds-http://dbpedia.org/resource/Category:Animated_films_about_cats-http://dbpedia.org/resource/Category:Dr._Jekyll_and_Mr._Hyde_films-http://dbpedia.org/resource/Category:Films_scored_by_Milt_Franklyn-http://dbpedia.org/resource/Category:Films_with_screenplays_by_Michael_Maltese-http://dbpedia.org/resource/Category:Merrie_Melodies_short_films-http://dbpedia.org/resource/Category:Short_films_directed_by_Friz_Freleng","na","http://dbpedia.org/resource/Friz_Freleng","na","http://dbpedia.org/resource/John_W._Burton_(film_producer)","English"
"http://dbpedia.org/resource/The_Hypnotic_Eye","21924668","The Hypnotic Eye (1960) is a horror film, released by Allied Artists on February 27, 1960, starring Jacques Bergerac, Allison Hayes, Merry Anders, Eric "Big Daddy" Nord, and Ferdinand Demara, billed as "Fred Demara".","http://dbpedia.org/resource/Allison_Hayes-http://dbpedia.org/resource/Jacques_Bergerac","The Hypnotic Eye","http://dbpedia.org/resource/Category:1960_films-http://dbpedia.org/resource/Category:1960_horror_films-http://dbpedia.org/resource/Category:Allied_Artists_films-http://dbpedia.org/resource/Category:American_black-and-white_films-http://dbpedia.org/resource/Category:American_films-http://dbpedia.org/resource/Category:Films_featuring_hypnosis","http://dbpedia.org/resource/Archie_R._Dalzell","http://dbpedia.org/resource/George_Blair_(director)","na","","http://dbpedia.org/resource/English_language"
"http://dbpedia.org/resource/Eyes_Without_a_Face","2491582","Eyes Without a Face (French: Les Yeux sans visage) is a 1960 French-language horror film co-written and directed by Georges Franju. The film, a French-Italian co-production, stars Pierre Brasseur and Alida Valli. Based on the novel of the same name by Jean Redon, it revolves around a plastic surgeon who is determined to perform a face transplant on his daughter, who was disfigured in an auto crash. During the film's production, consideration was given to the standards of European censors by setting the right tone, minimizing gore and eliminating the mad scientist character. Although the film passed through the European censors, the film's release in Europe caused controversy nevertheless. Critical reaction ranged from praise to disgust.","http://dbpedia.org/resource/Alida_Valli-http://dbpedia.org/resource/Juliette_Mayniel-http://dbpedia.org/resource/Pierre_Brasseur-http://dbpedia.org/resource/Édith_Scob","Ma Periode Française","http://dbpedia.org/resource/Category:1960_films-http://dbpedia.org/resource/Category:1960_horror_films-http://dbpedia.org/resource/Category:Body_horror_films-http://dbpedia.org/resource/Category:Films_about_surgeons-http://dbpedia.org/resource/Category:Films_based_on_French_novels-http://dbpedia.org/resource/Category:Films_based_on_horror_novels-http://dbpedia.org/resource/Category:Films_directed_by_Georges_Franju-http://dbpedia.org/resource/Category:Films_scored_by_Maurice_Jarre-http://dbpedia.org/resource/Category:Films_set_in_France-http://dbpedia.org/resource/Category:French-language_films-http://dbpedia.org/resource/Category:French_black-and-white_films-http://dbpedia.org/resource/Category:French_films-http://dbpedia.org/resource/Category:French_serial_killer_films-http://dbpedia.org/resource/Category:Gothic_horror_films-http://dbpedia.org/resource/Category:Italian_black-and-white_films-http://dbpedia.org/resource/Category:Italian_films-http://dbpedia.org/resource/Category:Italian_horror_films-http://dbpedia.org/resource/Category:Lux_Film_films-http://dbpedia.org/resource/Category:Mad_scientist_films-http://dbpedia.org/resource/Category:Works_about_plastic_surgery","http://dbpedia.org/resource/Eugen_Schüfftan","http://dbpedia.org/resource/Georges_Franju","na","","French"
"http://dbpedia.org/resource/The_Little_Shop_of_Horrors","325206","The Little Shop of Horrors is a 1960 American horror comedy film directed by Roger Corman. Written by Charles B. Griffith, the film is a farce about an inadequate florist's assistant who cultivates a plant that feeds on human blood. The film's concept may have been inspired by "Green Thoughts," a 1932 story by John Collier about a man-eating plant. Dennis McDougal suggests that Griffith may have been influenced by Arthur C. Clarke's 1956 sci-fi short story "The Reluctant Orchid" (which was in turn inspired by the 1905 H. G. Wells story "The Flowering of the Strange Orchid").","-Jackie Joseph-Jonathan Haze-Mel Welles","The Little Shop of Horrors","http://dbpedia.org/resource/Category:1960_comedy_films-http://dbpedia.org/resource/Category:1960_drama_films-http://dbpedia.org/resource/Category:1960_films-http://dbpedia.org/resource/Category:1960_horror_films-http://dbpedia.org/resource/Category:1960s_black_comedy_films-http://dbpedia.org/resource/Category:1960s_comedy_horror_films-http://dbpedia.org/resource/Category:1960s_monster_movies-http://dbpedia.org/resource/Category:American_black-and-white_films-http://dbpedia.org/resource/Category:American_black_comedy_films-http://dbpedia.org/resource/Category:American_comedy_horror_films-http://dbpedia.org/resource/Category:American_films-http://dbpedia.org/resource/Category:American_independent_films-http://dbpedia.org/resource/Category:American_monster_movies-http://dbpedia.org/resource/Category:Articles_containing_video_clips-http://dbpedia.org/resource/Category:English-language_films-http://dbpedia.org/resource/Category:Films_about_plants-http://dbpedia.org/resource/Category:Films_adapted_into_plays-http://dbpedia.org/resource/Category:Films_directed_by_Roger_Corman-http://dbpedia.org/resource/Category:Films_produced_by_Roger_Corman-http://dbpedia.org/resource/Category:Films_scored_by_Ronald_Stein-http://dbpedia.org/resource/Category:Films_with_screenplays_by_Charles_B._Griffith-http://dbpedia.org/resource/Category:Works_based_on_the_Faust_legend","na","http://dbpedia.org/resource/Roger_Corman","na","http://dbpedia.org/resource/Roger_Corman","English"
"http://dbpedia.org/resource/The_Tell-Tale_Heart_(1960_film)","9880833","The Tell-Tale Heart is a 1960 British horror film directed by Ernest Morris produced by the Danzigers. The screenplay by Brian Clemens and Eldon Howard is a loose adaptation of the 1843 short story of the same name by Edgar Allan Poe. The film was released in England in December 1960, and in the U.S. in February 1962 as The Hidden Room of 1,000 Horrors.","http://dbpedia.org/resource/Adrienne_Corri-http://dbpedia.org/resource/Dermot_Walsh-http://dbpedia.org/resource/Laurence_Payne","The Tell-Tale Heart","http://dbpedia.org/resource/Category:1960_films-http://dbpedia.org/resource/Category:1960_horror_films-http://dbpedia.org/resource/Category:British_black-and-white_films-http://dbpedia.org/resource/Category:British_films-http://dbpedia.org/resource/Category:British_horror_films-http://dbpedia.org/resource/Category:British_independent_films-http://dbpedia.org/resource/Category:Films_based_on_The_Tell-Tale_Heart","http://dbpedia.org/resource/James_Wilson_(cinematographer)","na","na","http://dbpedia.org/resource/The_Danzigers","English"
"http://dbpedia.org/resource/The_Hands_of_Orlac_(1960_film)","28968084","The Hands of Orlac (aka Hands of the Strangler) is a 1960 British-French horror film directed by Edmond T. Gréville, starring Mel Ferrer, Christopher Lee, and Dany Carrel, and based on the novel Les Mains d'Orlac by Maurice Renard.","http://dbpedia.org/resource/Christopher_Lee-http://dbpedia.org/resource/Dany_Carrel-http://dbpedia.org/resource/Felix_Aylmer-http://dbpedia.org/resource/Lucile_Saint-Simon-http://dbpedia.org/resource/Mel_Ferrer-http://dbpedia.org/resource/Mireille_Perrey","The Hands of Orlac","http://dbpedia.org/resource/Category:1960_films-http://dbpedia.org/resource/Category:1960_horror_films-http://dbpedia.org/resource/Category:British_films-http://dbpedia.org/resource/Category:British_horror_films-http://dbpedia.org/resource/Category:English-language_French_films-http://dbpedia.org/resource/Category:English-language_films-http://dbpedia.org/resource/Category:Films_about_pianos_and_pianists-http://dbpedia.org/resource/Category:Films_based_on_French_novels-http://dbpedia.org/resource/Category:Films_based_on_horror_novels-http://dbpedia.org/resource/Category:Films_directed_by_Edmond_T._Gréville-http://dbpedia.org/resource/Category:French_films-http://dbpedia.org/resource/Category:French_horror_films","http://dbpedia.org/resource/Desmond_Dickinson","http://dbpedia.org/resource/Edmond_T._Gréville","na","http://dbpedia.org/resource/Steven_Pallos","na"
"http://dbpedia.org/resource/13_Ghosts","1135297","13 Ghosts is a 1960 American supernatural horror film produced and directed by William Castle, written by Robb White, and starring Jo Morrow, Rosemary DeCamp, Martin Milner, Donald Woods, Charles Herbert, and experienced character actress Margaret Hamilton. 13 Ghosts was released in 1960 on a double bill with either 12 to the Moon, The Electronic Monster, or Battle in Outer Space, depending on the film market.","-Charles Herbert-Donald Woods-Jo Morrow-Margaret Hamilton-Rosemary DeCamp","13","http://dbpedia.org/resource/Category:1960_films-http://dbpedia.org/resource/Category:1960_horror_films-http://dbpedia.org/resource/Category:American_films-http://dbpedia.org/resource/Category:American_haunted_house_films-http://dbpedia.org/resource/Category:American_supernatural_horror_films-http://dbpedia.org/resource/Category:Columbia_Pictures_films-http://dbpedia.org/resource/Category:English-language_films-http://dbpedia.org/resource/Category:Films_directed_by_William_Castle-http://dbpedia.org/resource/Category:Films_with_screenplays_by_Robb_White","http://dbpedia.org/resource/Joseph_Biroc","http://dbpedia.org/resource/William_Castle","1500000.0","http://dbpedia.org/resource/William_Castle","English"
"http://dbpedia.org/resource/The_Hand_(1960_film)","39420987","The Hand is a 1960 British horror film directed by Henry Cass and written by Ray Cooney and Tony Hilton. The film is memorable for its nightmarish premise and opening scene that belies its censorship certificate.","http://dbpedia.org/resource/Bryan_Coleman-http://dbpedia.org/resource/Derek_Bond-http://dbpedia.org/resource/Reed_De_Rouen","The Hand","http://dbpedia.org/resource/Category:1960_films-http://dbpedia.org/resource/Category:1960_horror_films-http://dbpedia.org/resource/Category:British_films-http://dbpedia.org/resource/Category:British_horror_films-http://dbpedia.org/resource/Category:English-language_films-http://dbpedia.org/resource/Category:Films_directed_by_Henry_Cass-http://dbpedia.org/resource/Category:Films_shot_at_Nettlefold_Studios","http://dbpedia.org/resource/Walter_J._Harvey","http://dbpedia.org/resource/Henry_Cass","na","http://dbpedia.org/resource/Bill_Luckwell","English"
