"film","number","abstract","starring","name","subjects","cinematography","director","gross","producer","language"
"http://dbpedia.org/resource/Sudden_Death_(1995_film)","4021176","Sudden Death is a 1995 American action-thriller film directed by Peter Hyams and starring Jean-Claude Van Damme, Powers Boothe, and Dorian Harewood. The film was released in the United States on December 22, 1995. Set at the Pittsburgh Civic Arena, the film was written by Gene Quintano, based on a story by Karen Elise Baldwin, the wife of then-Pittsburgh Penguins owner Howard Baldwin, who was a co-producer. It was the second collaboration between Van Damme and Hyams, after Timecop (1994).","-Dorian Harewood-Jean-Claude Van Damme-Powers Boothe-Raymond J. Barry","Sudden Death","http://dbpedia.org/resource/Category:1995_action_thriller_films-http://dbpedia.org/resource/Category:1995_films-http://dbpedia.org/resource/Category:American_action_thriller_films-http://dbpedia.org/resource/Category:American_films-http://dbpedia.org/resource/Category:American_ice_hockey_films-http://dbpedia.org/resource/Category:English-language_films-http://dbpedia.org/resource/Category:Fictional_portrayals_of_the_Pittsburgh_Bureau_of_Police-http://dbpedia.org/resource/Category:Films_about_firefighting-http://dbpedia.org/resource/Category:Films_about_terrorism_in_the_United_States-http://dbpedia.org/resource/Category:Films_directed_by_Peter_Hyams-http://dbpedia.org/resource/Category:Films_scored_by_John_Debney-http://dbpedia.org/resource/Category:Films_set_in_1995-http://dbpedia.org/resource/Category:Films_set_in_Pennsylvania-http://dbpedia.org/resource/Category:Films_set_in_Pittsburgh-http://dbpedia.org/resource/Category:Films_shot_in_New_York_(state)-http://dbpedia.org/resource/Category:Films_shot_in_Pennsylvania-http://dbpedia.org/resource/Category:Films_with_screenplays_by_Gene_Quintano-http://dbpedia.org/resource/Category:Pittsburgh_Penguins-http://dbpedia.org/resource/Category:Sports_in_Pittsburgh-http://dbpedia.org/resource/Category:Universal_Pictures_films","http://dbpedia.org/resource/Peter_Hyams","http://dbpedia.org/resource/Peter_Hyams","6.44E7","http://dbpedia.org/resource/Howard_Baldwin-http://dbpedia.org/resource/Moshe_Diamant","English"
"http://dbpedia.org/resource/Taken_(film)","15593618","Taken (also titled 96 Hours and The Hostage) is a 2008 action-thriller film written by Luc Besson and Robert Mark Kamen, and directed by Pierre Morel. It stars Liam Neeson, Maggie Grace, Famke Janssen, Katie Cassidy, Leland Orser, and Holly Valance. Neeson plays Bryan Mills, a former CIA operative who sets about tracking down his teenage daughter Kim (Grace) and her best friend Amanda (Cassidy) after the two girls are kidnapped by Albanian human traffickers while traveling in France during a vacation.","-David Warshofsky-Famke Janssen-Holly Valance-Jon Gries-Katie Cassidy-Leland Orser-Liam Neeson-Maggie Grace","Taken: Original Motion Picture Soundtrack","http://dbpedia.org/resource/Category:2000s_action_thriller_films-http://dbpedia.org/resource/Category:2008_films-http://dbpedia.org/resource/Category:20th_Century_Fox_films-http://dbpedia.org/resource/Category:Albanian_Mafia-http://dbpedia.org/resource/Category:American_action_thriller_films-http://dbpedia.org/resource/Category:American_films-http://dbpedia.org/resource/Category:English-language_French_films-http://dbpedia.org/resource/Category:English-language_films-http://dbpedia.org/resource/Category:EuropaCorp_films-http://dbpedia.org/resource/Category:Films_about_child_abduction-http://dbpedia.org/resource/Category:Films_about_human_trafficking-http://dbpedia.org/resource/Category:Films_about_organized_crime_in_France-http://dbpedia.org/resource/Category:Films_about_prostitution_in_Paris-http://dbpedia.org/resource/Category:Films_directed_by_Pierre_Morel-http://dbpedia.org/resource/Category:Films_produced_by_Luc_Besson-http://dbpedia.org/resource/Category:Films_scored_by_Nathaniel_Méchaly-http://dbpedia.org/resource/Category:Films_set_in_Los_Angeles-http://dbpedia.org/resource/Category:Films_set_in_Paris-http://dbpedia.org/resource/Category:Films_shot_in_France-http://dbpedia.org/resource/Category:Films_shot_in_Los_Angeles-http://dbpedia.org/resource/Category:Films_with_screenplays_by_Luc_Besson-http://dbpedia.org/resource/Category:Films_with_screenplays_by_Robert_Mark_Kamen-http://dbpedia.org/resource/Category:French_action_thriller_films-http://dbpedia.org/resource/Category:French_films-http://dbpedia.org/resource/Category:French_vigilante_films-http://dbpedia.org/resource/Category:Human_trafficking_in_France-http://dbpedia.org/resource/Category:Taken_(franchise)-http://dbpedia.org/resource/Category:Works_about_sex_trafficking","http://dbpedia.org/resource/Michel_Abramowicz","http://dbpedia.org/resource/Pierre_Morel","2.268E8","http://dbpedia.org/resource/Luc_Besson","English"
"http://dbpedia.org/resource/Die_Hard_2","433824","Die Hard 2 is a 1990 American action-thriller film and the second installment in the Die Hard film series. The film was released on July 4, 1990 in the United States. The film was directed by Renny Harlin, written by Steven E. de Souza and Doug Richardson and stars Bruce Willis as John McClane. The film co-stars Bonnie Bedelia, William Sadler, Art Evans, William Atherton, Franco Nero, Dennis Franz, Fred Thompson, John Amos and Reginald VelJohnson.","-Bonnie Bedelia-Bruce Willis-Franco Nero-John Amos-Reginald VelJohnson-William Atherton-William Sadler","Die Hard 2","http://dbpedia.org/resource/Category:1990_action_thriller_films-http://dbpedia.org/resource/Category:1990_films-http://dbpedia.org/resource/Category:1990s_Christmas_films-http://dbpedia.org/resource/Category:20th_Century_Fox_films-http://dbpedia.org/resource/Category:American_Christmas_films-http://dbpedia.org/resource/Category:American_action_thriller_films-http://dbpedia.org/resource/Category:American_aviation_films-http://dbpedia.org/resource/Category:American_films-http://dbpedia.org/resource/Category:American_sequel_films-http://dbpedia.org/resource/Category:Die_Hard-http://dbpedia.org/resource/Category:English-language_films-http://dbpedia.org/resource/Category:Films_about_United_States_Army_Special_Forces-http://dbpedia.org/resource/Category:Films_about_aviation_accidents_or_incidents-http://dbpedia.org/resource/Category:Films_about_hostage_takings-http://dbpedia.org/resource/Category:Films_about_murderers-http://dbpedia.org/resource/Category:Films_about_terrorism-http://dbpedia.org/resource/Category:Films_based_on_American_novels-http://dbpedia.org/resource/Category:Films_based_on_multiple_works-http://dbpedia.org/resource/Category:Films_based_on_thriller_novels-http://dbpedia.org/resource/Category:Films_directed_by_Renny_Harlin-http://dbpedia.org/resource/Category:Films_produced_by_Charles_Gordon-http://dbpedia.org/resource/Category:Films_produced_by_Joel_Silver-http://dbpedia.org/resource/Category:Films_produced_by_Lawrence_Gordon-http://dbpedia.org/resource/Category:Films_scored_by_Michael_Kamen-http://dbpedia.org/resource/Category:Films_set_in_1990-http://dbpedia.org/resource/Category:Films_set_in_Virginia-http://dbpedia.org/resource/Category:Films_set_in_Washington,_D.C.-http://dbpedia.org/resource/Category:Films_set_in_airports-http://dbpedia.org/resource/Category:Films_set_on_airplanes-http://dbpedia.org/resource/Category:Films_shot_in_California-http://dbpedia.org/resource/Category:Films_shot_in_Colorado-http://dbpedia.org/resource/Category:Films_shot_in_Los_Angeles-http://dbpedia.org/resource/Category:Films_shot_in_Michigan-http://dbpedia.org/resource/Category:Films_shot_in_Washington_(state)-http://dbpedia.org/resource/Category:Films_with_screenplays_by_Steven_E._de_Souza-http://dbpedia.org/resource/Category:Silver_Pictures_films","http://dbpedia.org/resource/Oliver_Wood_(cinematographer)","http://dbpedia.org/resource/Renny_Harlin","2.402E8","http://dbpedia.org/resource/Charles_Gordon_(producer)-http://dbpedia.org/resource/Joel_Silver-http://dbpedia.org/resource/Lawrence_Gordon_(producer)","English"
"http://dbpedia.org/resource/Jason_Bourne_(film)","43844230","Jason Bourne is a 2016 American action-thriller film directed by Paul Greengrass and written by Greengrass and Christopher Rouse. It is the fifth installment of the Bourne film series and a direct sequel to The Bourne Ultimatum (2007). Matt Damon reprises his role as the main character, former CIA assassin Jason Bourne. In addition, the film stars Tommy Lee Jones, Alicia Vikander, Julia Stiles, Vincent Cassel, Riz Ahmed, Ato Essandoh and Scott Shepherd.","-Alicia Vikander-Julia Stiles-Matt Damon-Riz Ahmed-Tommy Lee Jones-Vincent Cassel","Jason Bourne:","http://dbpedia.org/resource/Category:2016_action_thriller_films-http://dbpedia.org/resource/Category:2016_films-http://dbpedia.org/resource/Category:American_action_thriller_films-http://dbpedia.org/resource/Category:American_films-http://dbpedia.org/resource/Category:American_films_about_revenge-http://dbpedia.org/resource/Category:American_sequel_films-http://dbpedia.org/resource/Category:Bourne_(film_series)-http://dbpedia.org/resource/Category:Films_about_United_States_Army_Special_Forces-http://dbpedia.org/resource/Category:Films_directed_by_Paul_Greengrass-http://dbpedia.org/resource/Category:Films_produced_by_Frank_Marshall-http://dbpedia.org/resource/Category:Films_produced_by_Matt_Damon-http://dbpedia.org/resource/Category:Films_scored_by_David_Buckley-http://dbpedia.org/resource/Category:Films_scored_by_John_Powell-http://dbpedia.org/resource/Category:Films_set_in_1999-http://dbpedia.org/resource/Category:Films_set_in_2016-http://dbpedia.org/resource/Category:Films_set_in_Athens-http://dbpedia.org/resource/Category:Films_set_in_Berlin-http://dbpedia.org/resource/Category:Films_set_in_Greece-http://dbpedia.org/resource/Category:Films_set_in_London-http://dbpedia.org/resource/Category:Films_set_in_Reykjavík-http://dbpedia.org/resource/Category:Films_set_in_Rome-http://dbpedia.org/resource/Category:Films_set_in_the_Las_Vegas_Valley-http://dbpedia.org/resource/Category:Films_shot_at_Warner_Bros._Studios,_Leavesden-http://dbpedia.org/resource/Category:Films_shot_in_Berlin-http://dbpedia.org/resource/Category:Films_shot_in_Greece-http://dbpedia.org/resource/Category:Films_shot_in_London-http://dbpedia.org/resource/Category:Films_shot_in_Washington,_D.C.-http://dbpedia.org/resource/Category:Films_shot_in_the_Canary_Islands-http://dbpedia.org/resource/Category:Films_shot_in_the_Las_Vegas_Valley-http://dbpedia.org/resource/Category:IMAX_films-http://dbpedia.org/resource/Category:Malware_in_fiction-http://dbpedia.org/resource/Category:Perfect_World_Pictures_films-http://dbpedia.org/resource/Category:The_Kennedy/Marshall_Company_films-http://dbpedia.org/resource/Category:Universal_Pictures_films","http://dbpedia.org/resource/Barry_Ackroyd","http://dbpedia.org/resource/Paul_Greengrass","4.155E8","http://dbpedia.org/resource/Frank_Marshall_(filmmaker)-http://dbpedia.org/resource/Gregory_Goodman-http://dbpedia.org/resource/Matt_Damon-http://dbpedia.org/resource/Paul_Greengrass","English"
"http://dbpedia.org/resource/Sanctum_(film)","28236076","Sanctum is a 2011 3D action-thriller film directed by Alister Grierson and written by John Garvin and Andrew Wight. It stars Richard Roxburgh, Rhys Wakefield, Alice Parkinson, Dan Wyllie, and Ioan Gruffudd. Wight also produced the film, with James Cameron as executive producer.","-Alice Parkinson-Dan Wyllie-Ioan Gruffudd-Rhys Wakefield-Richard Roxburgh","Sanctum","http://dbpedia.org/resource/Category:2010s_action_adventure_films-http://dbpedia.org/resource/Category:2010s_survival_films-http://dbpedia.org/resource/Category:2011_3D_films-http://dbpedia.org/resource/Category:2011_action_thriller_films-http://dbpedia.org/resource/Category:Father_and_son_films-http://dbpedia.org/resource/Category:Survival_films-http://dbpedia.org/resource/Category:Underwater_action_films","na","http://dbpedia.org/resource/Alister_Grierson","1.086E8","http://dbpedia.org/resource/Andrew_Wight","English"
"http://dbpedia.org/resource/Transporter_3","15968423","Transporter 3 (French: Le Transporteur 3) is a 2008 English-language French action-thriller film. It is the third and final installment in the original trilogy of the Transporter franchise. Both Jason Statham and François Berléand reprise their roles, as Frank Martin and Inspector Tarconi, respectively. The first film in the series to be directed by Olivier Megaton, it continues the story of Frank Martin, a professional "transporter" who has returned to France to continue his low-key business of delivering packages without question. It grossed over $109 million, making it the highest-grossing film in the trilogy.","-François Berléand-Jason Statham-Natalya Rudakova-Robert Knepper","Transporter 3","http://dbpedia.org/resource/Category:2000s_chase_films-http://dbpedia.org/resource/Category:2008_action_thriller_films-http://dbpedia.org/resource/Category:2008_films-http://dbpedia.org/resource/Category:English-language_French_films-http://dbpedia.org/resource/Category:English-language_films-http://dbpedia.org/resource/Category:EuropaCorp_films-http://dbpedia.org/resource/Category:Films_about_automobiles-http://dbpedia.org/resource/Category:Films_directed_by_Olivier_Megaton-http://dbpedia.org/resource/Category:Films_produced_by_Luc_Besson-http://dbpedia.org/resource/Category:Films_set_in_Budapest-http://dbpedia.org/resource/Category:Films_set_in_Germany-http://dbpedia.org/resource/Category:Films_set_in_Marseille-http://dbpedia.org/resource/Category:Films_set_in_Romania-http://dbpedia.org/resource/Category:Films_set_in_Ukraine-http://dbpedia.org/resource/Category:Films_shot_in_Budapest-http://dbpedia.org/resource/Category:Films_shot_in_France-http://dbpedia.org/resource/Category:Films_shot_in_Hungary-http://dbpedia.org/resource/Category:Films_shot_in_Romania-http://dbpedia.org/resource/Category:Films_shot_in_Ukraine-http://dbpedia.org/resource/Category:Films_with_screenplays_by_Luc_Besson-http://dbpedia.org/resource/Category:Films_with_screenplays_by_Robert_Mark_Kamen-http://dbpedia.org/resource/Category:French_action_thriller_films-http://dbpedia.org/resource/Category:French_films-http://dbpedia.org/resource/Category:French_sequel_films-http://dbpedia.org/resource/Category:Lionsgate_films-http://dbpedia.org/resource/Category:Transporter_(franchise)","na","http://dbpedia.org/resource/Olivier_Megaton","1.09E8","http://dbpedia.org/resource/Luc_Besson","English"
"http://dbpedia.org/resource/Dhoom","1828869","Dhoom (transl. Blast) is a 2004 Indian Hindi-language action-thriller film directed by Sanjay Gadhvi and written by Vijay Krishna Acharya and Aditya Chopra who also produced the film through the well known company Yash Raj Films.The film stars Abhishek Bachchan, Uday Chopra, John Abraham, Esha Deol and Rimi Sen. It is the first installment in the later famous Dhoom franchise. The cinematography was done by Nirav Shah, and the original soundtrack was composed by Pritam, while Salim-Sulaiman provided the background score for the film.","* Abhishek Bachchan              
* Uday Chopra
* John Abraham
* Esha Deol
* Rimi Sen","Dhoom","http://dbpedia.org/resource/Category:2000s_Hindi-language_films-http://dbpedia.org/resource/Category:2000s_heist_films-http://dbpedia.org/resource/Category:2004_action_thriller_films-http://dbpedia.org/resource/Category:2004_films-http://dbpedia.org/resource/Category:Fictional_portrayals_of_the_Maharashtra_Police-http://dbpedia.org/resource/Category:Films_directed_by_Sanjay_Gadhvi-http://dbpedia.org/resource/Category:Films_featuring_songs_by_Pritam-http://dbpedia.org/resource/Category:Films_set_in_Mumbai-http://dbpedia.org/resource/Category:Films_shot_in_Mumbai-http://dbpedia.org/resource/Category:Indian_action_thriller_films-http://dbpedia.org/resource/Category:Indian_films-http://dbpedia.org/resource/Category:Indian_heist_films-http://dbpedia.org/resource/Category:Yash_Raj_Films_films","http://dbpedia.org/resource/Nirav_Shah","http://dbpedia.org/resource/Sanjay_Gadhvi","na","http://dbpedia.org/resource/Aditya_Chopra","http://dbpedia.org/resource/Hindi"
"http://dbpedia.org/resource/Waar_2","41305887","Waar 2 is an upcoming Pakistani action-thriller film directed and written by Hassan Rana. It is a sequel to the Bilal Lashari's directed 2013 film Waar. The film stars Shaan Shahid. Filming began in June 2015 in London.","-Agha Haris Durrani-Aleeze Nasser-Ayesha Omer-Bilal Ashraf-Maya Ali-Shaan Shahid","Waar 2","http://dbpedia.org/resource/Category:Films_directed_by_Hassan_Rana-http://dbpedia.org/resource/Category:Films_shot_in_Gilgit-Baltistan-http://dbpedia.org/resource/Category:Films_shot_in_London-http://dbpedia.org/resource/Category:MindWorks_Media_films-http://dbpedia.org/resource/Category:Pakistani_action_thriller_films-http://dbpedia.org/resource/Category:Pakistani_films-http://dbpedia.org/resource/Category:Pakistani_spy_thriller_films-http://dbpedia.org/resource/Category:Unreleased_Pakistani_films","http://dbpedia.org/resource/Hassan_Rana","http://dbpedia.org/resource/Hassan_Rana","na","http://dbpedia.org/resource/Hassan_Rana","http://dbpedia.org/resource/English_language"
"http://dbpedia.org/resource/American_Siege","65875650","American Siege is an upcoming American action-thriller film directed by Edward John Drake, who co-wrote the film's script alongside producer Corey Large. The film stars Bruce Willis, Rob Gough, Anna Hindman, and Trevor Gretzky.","-Anna Hindman-Bruce Willis-Rob Gough-Trevor Gretzky","American Siege","http://dbpedia.org/resource/Category:American_action_thriller_films-http://dbpedia.org/resource/Category:American_films-http://dbpedia.org/resource/Category:Films_set_in_Oregon-http://dbpedia.org/resource/Category:Films_shot_in_British_Columbia-http://dbpedia.org/resource/Category:Films_shot_in_Georgia_(U.S._state)-http://dbpedia.org/resource/Category:Upcoming_English-language_films-http://dbpedia.org/resource/Category:Upcoming_films","na","http://dbpedia.org/resource/Edward_John_Drake","na","http://dbpedia.org/resource/Corey_William_Large-http://dbpedia.org/resource/Sean_O'Reilly","English"
"http://dbpedia.org/resource/Walking_Tall:_The_Payback","22010762","Walking Tall: The Payback is a 2007 American action-thriller film, released direct-to-video as a stand-alone sequel to the 2004 original Walking Tall (starring Dwayne "The Rock" Johnson), it was directed by Tripp Reed and starring Kevin Sorbo, A.J. Buckley, Haley Ramm, Bentley Mitchum, Jennifer Sipes, Brad Leland, Charles Baker and Marc Macaulay.","http://dbpedia.org/resource/Haley_Ramm-http://dbpedia.org/resource/Kevin_Sorbo","Walking Tall: The Payback","http://dbpedia.org/resource/Category:2000s_action_thriller_films-http://dbpedia.org/resource/Category:2007_direct-to-video_films-http://dbpedia.org/resource/Category:2007_films-http://dbpedia.org/resource/Category:American_action_thriller_films-http://dbpedia.org/resource/Category:American_films-http://dbpedia.org/resource/Category:Direct-to-video_sequel_films-http://dbpedia.org/resource/Category:English-language_films-http://dbpedia.org/resource/Category:Walking_Tall_(films)","na","na","na","","English"
